image_name,defect_type,num_candidates,total_candidate_area,candidate_area_ratio,largest_component_area,has_ground_truth,iou,dice,precision,recall,false_positive_rate
000.png,crack,55,160584,0.22758503401360544,66407,True,0.10472183263206461,0.1895895048666843,0.10601305235888345,0.895811408124134,0.2090894791114395
001.png,crack,31,248610,0.35233843537414966,42912,True,0.044144173033291746,0.08455570441972718,0.04429829853987996,0.9269421765836824,0.3424974665534555
002.png,crack,54,112196,0.15900793650793651,37707,True,0.13903178314712575,0.24412274565856845,0.1430888801739685,0.8306084437081795,0.14009314091205616
003.png,crack,27,246114,0.34880102040816324,155527,True,0.06698674074400897,0.12556246143658573,0.06780191293465354,0.8478305050295458,0.33448167273638635
004.png,crack,69,106218,0.15053571428571427,6545,True,0.03929345231537225,0.07561570262534224,0.04029448869306141,0.6126538791860684,0.14591462524369472
000.png,glue_strip,44,236273,0.3348540249433107,50588,True,0.0007519681251046607,0.001502806187857842,0.0008930347521722375,0.004737846637475079,0.35709347794845653
001.png,glue_strip,53,181698,0.25750850340136056,73584,True,0.0004944858593665389,0.0009884829279030046,0.0006549329106539061,0.002014388489208292,0.280853795290201
002.png,glue_strip,64,114411,0.16214710884353742,7857,True,0.0004138485550773061,0.0008273547106030926,0.0006118292821493903,0.0012773023374630446,0.17569380313676652
003.png,glue_strip,30,156814,0.2222420634920635,52160,True,0.0055114241055663525,0.010962429612311836,0.014233423036207593,0.008913916012699578,0.3395876583077879
004.png,glue_strip,54,76718,0.10872732426303855,4884,True,0.0003235792696767432,0.0006469492000038311,0.0008733282932296367,0.0005137721612170639,0.13326158917369968
000.png,gray_stroke,56,175309,0.24845379818594104,30739,True,0.07052303350327348,0.13175435052992315,0.07069802463079074,0.9660924467994652,0.23516428949825793
001.png,gray_stroke,44,246235,0.34897250566893423,122424,True,0.10720249807855156,0.19364569401639117,0.10819339249090876,0.9212919735792366,0.32451531958095114
002.png,gray_stroke,48,224004,0.3174659863945578,67022,True,0.07081857483998372,0.13226997832114817,0.07122640667130625,0.9251957089005942,0.30224084956163166
003.png,gray_stroke,58,121327,0.17194869614512473,39243,True,0.24722041069523557,0.39643419651451656,0.2562084284619041,0.8757324768985588,0.13466864844859702
004.png,gray_stroke,45,205516,0.2912641723356009,74896,True,0.1528997315950847,0.2652437630175203,0.1552239241713465,0.9108065667377843,0.25890467136412393
000.png,oil,64,121548,0.17226190476190475,12405,True,0.17619484013192435,0.29960145057627013,0.3432471122519216,0.2658031880327553,0.14550031168092356
001.png,oil,49,91048,0.12903628117913832,11086,True,0.10148565759705157,0.18427050211157145,0.18426544240398646,0.18427556209701085,0.12085290705337144
002.png,oil,44,57773,0.08187783446712019,12034,True,0.12706601585152913,0.22548105268798704,0.3640801066241386,0.163311257249768,0.06369419021745615
003.png,oil,62,174773,0.24769416099773242,24421,True,0.14023944338813896,0.24598244553166415,0.1920205065999787,0.34212779839331015,0.23244632169452528
004.png,oil,62,145517,0.20623157596371883,29551,True,0.15139513429706428,0.26297685266751136,0.21540438574185727,0.33751843995301584,0.1863329911494573
000.png,rough,65,84348,0.11954081632653062,4757,True,0.0008487238199643847,0.0016960081973728042,0.0011381419832122708,0.0033265185903865947,0.12449666859256163
001.png,rough,42,47204,0.06689909297052155,3895,True,0.0002549876462881488,0.0005098452883262562,0.000614354715701929,0.0004357233006790619,0.0738212079293433
002.png,rough,58,71290,0.10103458049886621,3611,True,0.010729723182066716,0.021231636778794777,0.023607799130309495,0.01929006154939204,0.11256838731274672
003.png,rough,45,45027,0.06381377551020408,2214,True,0.004055192753317671,0.008077629163387983,0.017100850600746863,0.005287626267828208,0.0790336031658429
004.png,rough,35,50180,0.07111678004535148,5645,True,0.0,0.0,0.0,0.0,0.10637463458892486
